Emotion,Place,Temp,Time,Songs
,,,,
Angry,Tamil Nadu,Rain,Morning,1
Angry,Tamil Nadu,Hot,Morning,2
Angry,Tamil Nadu,Normal,Morning,3
Angry,Tamil Nadu,Rain,Evening,4
Angry,Tamil Nadu,Hot,Evening,5
Angry,Tamil Nadu,Normal,Evening,6
Angry,Tamil Nadu,Rain,Night,7
Angry,Tamil Nadu,Hot,Night,8
Angry,Tamil Nadu,Normal,Night,9
Disgust,Tamil Nadu,Rain,Morning,10
Disgust,Tamil Nadu,Hot,Morning,11
Disgust,Tamil Nadu,Normal,Morning,12
Disgust,Tamil Nadu,Rain,Evening,13
Disgust,Tamil Nadu,Hot,Evening,14
Disgust,Tamil Nadu,Normal,Evening,15
Disgust,Tamil Nadu,Rain,Night,16
Disgust,Tamil Nadu,Hot,Night,17
Disgust,Tamil Nadu,Normal,Night,18
Fear,Tamil Nadu,Rain,Morning,19
Fear,Tamil Nadu,Hot,Morning,20
Fear,Tamil Nadu,Normal,Morning,21
Fear,Tamil Nadu,Rain,Evening,22
Fear,Tamil Nadu,Hot,Evening,23
Fear,Tamil Nadu,Normal,Evening,24
Fear,Tamil Nadu,Rain,Night,25
Fear,Tamil Nadu,Hot,Night,26
Fear,Tamil Nadu,Normal,Night,27
Happy,Tamil Nadu,Rain,Morning,28
Happy,Tamil Nadu,Hot,Morning,29
Happy,Tamil Nadu,Normal,Morning,30
Happy,Tamil Nadu,Rain,Evening,31
Happy,Tamil Nadu,Hot,Evening,32
Happy,Tamil Nadu,Normal,Evening,33
Happy,Tamil Nadu,Rain,Night,34
Happy,Tamil Nadu,Hot,Night,35
Happy,Tamil Nadu,Normal,Night,36
Neutral,Tamil Nadu,Rain,Morning,37
Neutral,Tamil Nadu,Hot,Morning,38
Neutral,Tamil Nadu,Normal,Morning,39
Neutral,Tamil Nadu,Rain,Evening,40
Neutral,Tamil Nadu,Hot,Evening,41
Neutral,Tamil Nadu,Normal,Evening,42
Neutral,Tamil Nadu,Rain,Night,43
Neutral,Tamil Nadu,Hot,Night,44
Neutral,Tamil Nadu,Normal,Night,45
Sad,Tamil Nadu,Rain,Morning,46
Sad,Tamil Nadu,Hot,Morning,47
Sad,Tamil Nadu,Normal,Morning,48
Sad,Tamil Nadu,Rain,Evening,49
Sad,Tamil Nadu,Hot,Evening,50
Sad,Tamil Nadu,Normal,Evening,51
Sad,Tamil Nadu,Rain,Night,52
Sad,Tamil Nadu,Hot,Night,53
Sad,Tamil Nadu,Normal,Night,54
Surprise,Tamil Nadu,Rain,Morning,55
Surprise,Tamil Nadu,Hot,Morning,56
Surprise,Tamil Nadu,Normal,Morning,57
Surprise,Tamil Nadu,Rain,Evening,58
Surprise,Tamil Nadu,Hot,Evening,59
Surprise,Tamil Nadu,Normal,Evening,60
Surprise,Tamil Nadu,Rain,Night,61
Surprise,Tamil Nadu,Hot,Night,62
Surprise,Tamil Nadu,Normal,Night,63
